"","Q162","bienvenido","language","Q161","Introcommu.x","oftenmbta","PoliID.x","ideology.x","party.x","obama.x","X2010","election.x","intoviews.x","numberim.x","Remain.x","Englishlan.x","Hispanics.x","age","residency","Friends.x","race_1","race_2","race_3","race_4","race_5","hispanicID","gender","education","citizen","income","Community.x","Crime.x","Diverse.x","wealthcomm.x","Q119","Q120","Q121","Q122","Q123_3_TEXT","Q123_4_TEXT","Q124","Q125","Q126","Q127","Q128","Q129","Q130","Q131","Q132","Q133","Q134","Q135","Q136","Q137","Q138","Q139","Q140","Q141","Q142","Q143","Q144","Q145","Q146","Q147","Q148","Q149_1","Q149_2","Q149_3","Q149_4","Q149_5","Q150","Q151","Q152","Q153","Q154","Q155","Q156","Q157","Q158","Q159","Q160","treatment","welcome.y","disclosure.y","Introcommu.y","line","oftentrain","best_memor","Commutefre","MissTrain","habits","wait_on_pl","PoliID.y","registered","ideology.y","party.y","obama.y","election.y","intoviews.y","numberim.y","Remain.y","Englishlan.y","Hispanics.y","selfIDintr","Friends.y","Community.y","Crime.y","Diverse.y","wealthcomm.y"
"1",1,1,1,NA,1,3,1,2,1,2,5,1,1,3,2,2,1,24,2,0,NA,NA,NA,1,NA,2,2,6,1,8,1,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,3,5,1,12,0,2,2,1,1,2,1,2,2,1,3,4,1,1,1,0,1,4,3,3
"4",1,1,1,NA,1,4,1,4,2,5,5,7,1,3,2,3,1,25,2,3,NA,NA,NA,1,NA,2,1,6,1,8,1,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,3,5,1,17,0,2,2,1,1,5,2,5,7,1,3,3,4,1,1,0,1,3,3,3
"5",1,1,1,NA,1,4,1,2,1,2,5,1,1,3,2,3,1,23,3,4,NA,NA,NA,1,NA,2,1,5,1,7,1,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,3,3,1,5,0,2,3,1,1,2,1,2,1,1,3,3,4,1,1,10,1,3,3,2
"6",1,1,1,NA,1,4,1,3,2,5,5,7,1,5,5,1,3,15,3,5,NA,NA,NA,1,NA,2,2,2,1,3,1,3,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,4,5,1,20,0,2,3,1,1,5,2,5,7,1,5,5,1,4,1,2,1,4,5,4
"7",1,1,1,NA,1,4,1,2,1,2,5,1,1,3,3,2,1,6,6,2,NA,NA,NA,1,NA,2,2,5,1,3,1,3,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,3,5,1,20,0,2,2,1,1,2,1,2,1,1,3,3,1,1,1,2,1,3,5,2
"8",1,NA,NA,1,1,4,1,2,2,2,5,1,1,3,2,2,1,19,5,0,NA,NA,NA,1,NA,2,2,5,1,5,1,3,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,4,4,1,20,1,2,2,1,1,2,2,2,1,1,3,2,2,1,1,0,1,4,3,3
"9",1,1,1,NA,1,4,1,3,2,3,2,2,1,3,2,1,1,6,2,3,NA,NA,NA,1,NA,2,2,5,1,3,1,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,3,2,1,20,4,2,3,1,1,3,2,3,3,1,3,4,1,1,1,3,1,3,3,3
"10",1,NA,NA,1,1,3,1,1,1,2,5,1,1,2,2,3,1,44,5,4,NA,NA,NA,1,NA,2,2,6,1,6,1,3,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,3,4,1,12,0,1,NA,1,1,1,1,2,1,1,3,2,2,1,1,5,1,3,4,3
"11",1,1,1,NA,1,1,1,1,1,2,5,1,1,2,2,5,1,24,6,2,NA,NA,NA,1,NA,2,1,3,1,7,1,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,3,5,1,0,0,1,NA,1,1,1,1,2,1,1,2,2,5,1,1,0,1,4,4,4
"12",1,NA,NA,1,1,4,1,3,2,5,1,7,1,5,2,1,1,36,5,12,NA,NA,NA,1,NA,2,1,5,1,5,1,3,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,3,5,1,20,0,2,3,1,1,4,2,5,7,1,4,1,1,1,1,12,1,4,5,3
