"","treated_unit","V2","V3","V4","V6","V7","V8","V9","V10","welcome","disclosure","Introcommu","oftenmbta","PoliID","ideology","party","obama","X2010","election","intoviews","numberim","Remain","Englishlan","raceintro","Asians","AfAms","Hispanics","MiddleEast","IntroDemo","Illegal_ma","illegal_us","age","residency","Friends","race_1","race_2","race_3","race_4","race_5","hispanicID","gender","education","citizen","income","Community","Crime","Diverse","wealthcomm","Comments","End","assignment","line","station","train","time","treatment","white","residency.new","liberal","conservative","democract","republican","obama.approve","obama.disapprove","ride.everyday","voted.2010","obama.voter","romney.voter","college","us.born","hispanic.new","income.new","male","missing"
"1","Framingham_Grafton_P502","Default Response Set","Anonymous",NA,"167.230.38.116",0,"2012-07-18 04:53:45","2012-07-18 05:00:35",1,1,1,1,3,1,4,2,4,5,3,1,3,4,2,1,1,1,1,1,1,1,1,28,4,5,NA,NA,NA,1,NA,2,1,6,1,9,1,3,3,3,"",1,"T2a","Framingham","Grafton","P502","5:29",1,1,12.5,0,1,0,0,0,1,0,1,0,0,1,1,0,300000,1,0
"2","Framingham_Grafton_P502","Default Response Set","Anonymous",NA,"205.153.88.193",0,"2012-07-18 05:04:18","2012-07-18 05:42:32",1,1,1,1,4,1,3,3,5,5,7,1,3,5,1,1,1,1,1,1,1,5,10,34,5,3,NA,NA,NA,1,NA,2,2,3,1,5,1,3,3,3,"",1,"T2a","Framingham","Grafton","P502","5:29",1,1,8.03370786516854,0,0,0,1,0,1,1,1,0,1,0,1,0,87500,0,1
"3","Framingham_Grafton_P502","Default Response Set","Anonymous",NA,"38.97.120.10",0,"2012-07-18 04:58:11","2012-07-18 05:10:14",1,1,1,1,4,1,3,1,3,5,3,1,5,2,2,1,1,1,1,1,1,10,20,14,2,3,NA,NA,NA,1,NA,2,2,5,1,7,1,3,4,3,"",1,"T2b","Framingham","Grafton","P502","5:29",1,1,3.5,0,0,1,0,0,0,1,1,0,0,1,1,0,135000,0,0
"4","Framingham_Grafton_P502","Default Response Set","Anonymous",NA,"71.126.250.27",0,"2012-07-22 10:04:38","2012-07-22 10:11:50",1,1,1,1,4,1,1,1,1,4,1,1,2,1,4,1,1,1,1,2,1,60,30,10,2,25,1,NA,NA,NA,NA,2,2,5,2,7,1,3,4,3,"",1,"T2a","Framingham","Grafton","P502","5:29",1,0,3.5,1,0,1,0,1,0,1,0,1,0,1,0,0,135000,0,1
"5","Framingham_Grafton_P502","Default Response Set","Anonymous",NA,"132.183.80.40",0,"2012-07-18 12:34:36","2012-07-18 12:38:20",1,1,1,1,4,1,3,1,1,5,1,1,1,5,1,1,1,1,1,4,1,22,15,NA,3,3,NA,NA,NA,1,NA,2,1,2,1,7,1,3,3,3,"",1,"T2a","Framingham","Grafton","P502","5:29",1,1,7.5,0,0,1,0,1,0,1,1,1,0,0,1,0,135000,1,1
"6","Framingham_Grafton_P502","Default Response Set","Anonymous",NA,"65.215.1.13",0,"2012-07-18 05:52:04","2012-07-18 05:56:29",1,1,1,1,4,1,4,1,2,5,1,1,3,3,2,1,1,1,1,1,1,1,2,19,3,5,NA,NA,NA,1,NA,2,1,6,1,7,1,3,3,4,"",1,"T2a","Framingham","Grafton","P502","5:29",1,1,7.5,0,1,1,0,1,0,1,1,1,0,1,1,0,135000,1,0
"7","Framingham_Grafton_P502","Default Response Set","Anonymous",NA,"132.183.13.158",0,"2012-07-18 07:36:20","2012-07-18 07:47:29",1,1,1,1,4,1,4,3,3,1,7,1,3,2,2,1,1,1,1,1,1,1,5,25,4,2,NA,NA,NA,1,NA,2,1,5,1,7,1,3,4,3,"",1,"T2b","Framingham","Grafton","P502","5:29",1,1,12.5,0,1,0,1,0,0,1,0,0,1,1,1,0,135000,1,0
"8","Framingham_Grafton_P502","Default Response Set","Anonymous",NA,"12.230.181.178",0,"2012-07-19 08:55:33","2012-07-19 08:59:59",1,1,1,1,4,1,4,3,5,5,7,1,4,4,1,1,2,1,3,2,1,15,25,7,1,2,NA,NA,NA,1,NA,2,1,6,1,6,1,3,3,3,"",1,"T2a","Framingham","Grafton","P502","5:29",1,1,1,0,1,0,1,0,1,1,1,0,1,1,1,0,115000,1,0
"9","Framingham_Grafton_P502","Default Response Set","Anonymous",NA,"132.183.80.40",0,"2012-07-18 12:24:57","2012-07-18 12:33:53",1,1,1,1,4,1,4,1,1,5,1,1,5,1,1,1,1,1,1,3,1,20,15,47,3,10,NA,NA,NA,1,NA,2,2,2,NA,7,1,3,3,3,"",1,"T2a","Framingham","Grafton","P502","5:29",1,1,7.5,0,1,1,0,1,0,1,1,1,0,0,1,0,135000,0,0
"10","Framingham_Grafton_P502","Default Response Set","Anonymous",NA,"68.116.184.17",0,"2012-07-22 16:21:49","2012-07-22 16:29:30",1,1,1,1,4,1,3,2,4,5,6,1,2,5,1,1,1,1,1,3,1,2,1,37,4,3,NA,NA,NA,1,NA,2,1,6,1,8,1,3,3,3,"wish it were more focused on the train/commuter issues.  maybe next time",1,"T2b","Framingham","Grafton","P502","5:29",1,1,12.5,0,0,0,0,0,1,1,1,0,1,1,1,0,250000,1,1
"11","Framingham_Grafton_P502","Default Response Set","Anonymous",NA,"71.174.128.25",0,"2012-08-01 06:25:44","2012-08-01 07:15:36",1,1,1,1,4,1,4,2,4,5,4,1,3,4,1,1,1,1,1,1,1,25,45,58,5,2,NA,NA,NA,1,NA,2,1,5,1,4,1,3,4,1,"If illegal aliens are not repatriated to their country of origen and they have children born in the USA. The children would be required to dedicate two years in service to this country as a Peace Corps volunteer assigned to a country where they spoke a native language of one of their parents. /  /  A required alternative service might be a agriculture or conservation related service for the same two years at minimum wage as recognition for the benefits of freedom and opportunity available to them. Only after such service should they be eligible for scholarship or other grants for continuing higher education (professional or college). /                         --- There should be limits and/or consequences to/for nearly everything --- / By so doing this nation would not becondoning the actions of illegal ""others"" who engineered or accepted a shorter route for their own hopeful future in this nation now largely a melting pot from other diverse cultures and locations.",1,"t2c","Framingham","Grafton","P502","5:29",1,1,8.03370786516854,0,1,0,0,0,1,1,1,0,0,1,1,0,62500,1,1
"12","Framingham_Grafton_P502","Default Response Set","Anonymous",NA,"170.223.207.73",0,"2012-07-18 07:19:16","2012-07-18 07:27:03",1,1,1,1,4,1,3,2,2,5,2,1,3,4,2,1,1,1,1,2,1,1,4,30,4,5,NA,NA,NA,1,NA,2,1,6,1,8,1,3,4,3,"",1,"T2a","Framingham","Grafton","P502","5:29",1,1,12.5,0,0,0,0,1,0,1,1,1,0,1,1,0,250000,1,1
"13","Framingham_Grafton_P502","Default Response Set","Anonymous",NA,"129.10.88.255",0,"2012-07-18 11:19:46","2012-07-18 11:32:00",1,1,1,1,4,1,5,4,5,5,3,1,3,5,1,1,1,1,1,2,1,5,5,20,3,1,NA,NA,NA,1,NA,2,2,6,1,5,1,3,4,4,"The first 8 digits of my second card were not as you specified in this form.  Instead, they are 54473000. / Why the focus on Mexicans? / ",1,"T2b","Framingham","Grafton","P502","5:29",1,1,7.5,0,1,0,0,0,1,1,1,0,0,1,1,0,87500,0,0
"14","Framingham_Grafton_P502","Default Response Set","Anonymous",NA,"152.130.14.1",0,"2012-07-18 04:55:00","2012-07-18 05:04:16",1,1,1,1,4,1,5,2,4,5,6,1,3,5,3,1,1,1,1,2,1,5,15,16,2,30,NA,NA,NA,1,NA,2,1,5,1,4,1,3,3,3,"",1,"T2b","Framingham","Grafton","P502","5:29",1,1,3.5,0,1,0,0,0,1,1,1,0,1,1,1,0,62500,1,1
"15","Framingham_Grafton_P502","Default Response Set","Anonymous",NA,"71.10.228.176",0,"2012-07-20 10:10:14","2012-07-20 10:28:39",1,1,1,1,4,1,1,2,2,5,1,1,1,1,5,1,1,1,1,1,1,1,2,46,5,100,NA,NA,NA,NA,1,2,1,6,1,7,1,3,4,4,"  I find questions about ethnicity extremely offensive ... The ""number of friends"" question does not define friends ... In a state where there are several hundred thousand puerto ricans, hispanic questions are problematic ... the number of illegal Irish immigrants in Massachusetts is much, much higher than ""hispanics"" ..  ",1,"T2b","Framingham","Grafton","P502","5:29",1,0,8.03370786516854,1,0,0,0,1,0,1,1,1,0,1,1,0,135000,1,0
"16","Framingham_Grafton_P502","Default Response Set","Anonymous",NA,"68.162.239.100",0,"2012-07-18 16:30:49","2012-07-18 16:41:54",1,1,1,1,4,1,4,2,4,5,6,1,3,4,4,1,1,1,1,1,1,1,1,38,4,5,NA,NA,1,1,NA,2,2,6,1,6,1,3,3,3,"",1,"T2b","Framingham","Grafton","P502","5:29",1,1,12.5,0,1,0,0,0,1,1,1,0,1,1,1,0,115000,0,1
"17","Framingham_Grafton_P502","Default Response Set","Anonymous",NA,"134.42.96.2",0,"2012-08-08 12:37:37","2012-08-08 12:50:52",1,1,1,1,3,1,2,2,2,1,1,1,2,1,2,1,1,1,1,1,1,1,1,27,5,3,NA,NA,NA,1,NA,2,1,6,2,1,1,3,3,3,"",1,"t4c","Framingham","Grafton","P502","5:29",1,1,8.03370786516854,1,0,0,0,1,0,0,0,1,0,1,0,0,10000,1,1
"18","Framingham_Grafton_P502","Default Response Set","Anonymous",NA,"152.216.7.5",0,"2012-07-18 13:25:42","2012-07-18 13:32:48",1,1,1,1,4,1,5,2,4,1,6,1,4,3,2,1,1,1,1,1,1,1,2,33,2,10,NA,NA,NA,1,NA,2,1,6,1,8,1,3,4,4,"There are issues other than race that impact the relative wealth of communities including the housing market, business conditions, governmental policies, etc...",1,"T2b","Framingham","Grafton","P502","5:29",1,1,3.5,0,1,0,0,0,1,1,0,0,1,1,1,0,250000,1,0
"19","Framingham_Grafton_P502","Default Response Set","Anonymous",NA,"8.192.1.98",0,"2012-08-06 09:48:20","2012-08-06 10:48:58",1,1,1,1,4,1,5,3,5,5,7,1,5,3,1,1,1,1,4,3,1,3,5,16,1,0,NA,NA,NA,1,NA,2,1,6,1,8,1,3,4,5,"",1,"t4c","Framingham","Grafton","P502","5:29",1,1,1,0,1,0,1,0,1,1,1,0,1,1,1,0,250000,1,1
"20","Framingham_Grafton_P502","Default Response Set","Anonymous",NA,"171.159.192.10",0,"2012-07-21 11:16:33","2012-07-21 11:28:44",1,1,1,1,4,1,3,3,2,1,1,1,3,4,1,1,1,1,1,1,1,5,28,23,2,15,NA,NA,NA,1,NA,2,1,4,1,3,1,3,5,3,"Thank You for Sharing this Survey with me.",1,"T2b","Framingham","Grafton","P502","5:29",1,1,3.5,0,0,0,1,1,0,1,0,1,0,0,1,0,42500,1,1
"21","Framingham_Grafton_P502","Default Response Set","Anonymous",NA,"64.47.206.34",0,"2012-07-18 10:49:03","2012-07-18 10:53:49",1,1,1,1,3,1,3,2,2,5,2,1,5,4,2,1,1,1,1,1,1,1.5,3,27,2,0,NA,NA,NA,1,NA,2,1,5,1,6,1,3,3,3,"",1,"T2a","Framingham","Grafton","P502","5:29",1,1,3.5,0,0,0,0,1,0,0,1,1,0,1,1,0,115000,1,1
"22","Framingham_Grafton_P506","Default Response Set","Anonymous",NA,"98.110.214.127",0,"2012-07-19 20:14:03","2012-07-19 20:24:29",1,1,1,1,4,1,2,1,2,5,2,1,3,2,4,1,1,1,1,3,1,1,5,39,3,1,NA,NA,NA,1,NA,2,2,6,1,7,1,3,4,3,"",1,"T2b","Framingham","Grafton","P506","6:49",0,1,7.5,1,0,1,0,1,0,1,1,1,0,1,1,0,135000,0,1
"23","Framingham_Grafton_P506","Default Response Set","Anonymous",NA,"96.32.250.181",0,"2012-07-19 17:52:08","2012-07-19 18:07:50",1,1,1,1,3,1,1,2,2,5,1,1,3,2,5,1,1,1,1,1,1,1,3,23,1,0,NA,NA,NA,1,NA,2,1,6,1,4,1,3,3,4,"I found it strange that you did not ask if I felt resentful of white/caucasian people. I also found it odd that you asked questions about Mexicans, but later conflated Hispanic/Latino as a category of identification. Interesting survey nonetheless. Good luck.",1,"T2b","Framingham","Grafton","P506","6:49",0,1,1,1,0,0,0,1,0,0,1,1,0,1,1,0,62500,1,0
"24","Framingham_Grafton_P506","Default Response Set","Anonymous",NA,"143.115.159.53",0,"2012-07-20 08:21:08","2012-07-20 08:42:13",1,1,1,1,4,1,3,3,2,5,2,1,2,1,3,1,1,1,1,1,1,1,1,20,2,NA,NA,NA,NA,1,NA,2,1,6,1,6,1,3,2,2,"How can you count the ethnicity of your friends?  Let alone to categorize friends as Latino or not seems strange?  It is like saying I am not racist because I am friends with Bobby and he is ""African -American"" so that cannot be true... only to have him correct you and indicate that he and his family is from Trinidad, not Africa.  I am probably jaded because I have lived in predominately white areas my whole life, had the opportunity to surround myself with those that were not and to see what they went through first hand ( I still remember the look on Alec's face when Bobby told him he was not from Africa).",1,"T2a","Framingham","Grafton","P506","6:49",0,1,3.5,0,0,0,1,1,0,1,1,1,0,1,1,0,115000,1,0
"25","Framingham_Grafton_P506","Default Response Set","Anonymous",NA,"170.223.207.71",0,"2012-07-18 07:31:51","2012-07-18 07:41:02",1,1,1,1,4,1,3,2,2,1,2,1,3,2,1,1,1,1,1,1,1,2,10,16,2,10,NA,NA,NA,1,NA,2,2,6,2,6,1,3,3,4,"",1,"T2a","Framingham","Grafton","P506","6:49",0,1,3.5,0,0,0,0,1,0,1,0,1,0,1,0,0,115000,0,0
"26","Framingham_Grafton_P506","Default Response Set","Anonymous",NA,"131.239.49.21",0,"2012-08-03 10:34:20","2012-08-03 10:41:41",1,1,1,1,4,1,4,1,1,5,1,1,5,5,2,1,1,1,1,4,1,10,5,18,3,5,NA,NA,NA,1,NA,2,1,5,1,7,1,3,3,2,"",1,"t4c","Framingham","Grafton","P506","6:49",0,1,7.5,0,1,1,0,1,0,1,1,1,0,1,1,0,135000,1,1
"27","Framingham_Grafton_P506","Default Response Set","Anonymous",NA,"209.190.172.98",0,"2012-07-18 09:00:57","2012-07-18 09:08:36",1,1,1,1,4,1,3,2,3,2,3,1,2,4,2,1,1,1,1,1,1,7,15,3,4,8,NA,NA,NA,1,NA,2,1,3,1,8,1,3,3,3,"",1,"T2a","Framingham","Grafton","P506","6:49",0,1,12.5,0,0,0,0,0,0,1,0,0,0,0,1,0,250000,1,1
"28","Framingham_Grafton_P506","Default Response Set","Anonymous",NA,"64.30.87.171",0,"2012-07-19 18:32:48","2012-07-19 18:52:30",1,1,1,1,4,1,2,1,1,5,1,1,3,2,1,1,1,1,1,1,1,10,50,28,5,15,NA,NA,NA,1,NA,2,1,5,1,7,1,4,5,3,"I think people should be judged on the merit of their character. In addition it is time for Americans to accept that most of us have been immigrants at one time or another. Corporations have far too much power in defining our laws. Simple basic rights like gay marriage or universal health care and public higher education shouldn't fall victim to religious fundamentalists or corporate profit mongers. Finally we need to have strict and unambiguous penalties for anyone who commits crime or abuses the public interests. ",1,"T2a","Framingham","Grafton","P506","6:49",0,1,8.03370786516854,1,0,1,0,1,0,1,1,1,0,1,1,0,135000,1,1
