"","V2","V3","V4","V6","V7","V8","V9","V10","random","informed","Intro","Age","residency","Friends","MaleFemale","Race_1","Race_2","Race_3","Race_4","Race_5","Hispanic","education","citizen","Work","Income","ideology","partyID","Obama","X2010voting","election","intro2","immigrantN","deport","englishlaw","intro3","Asians","Blacks","Hispanics","MiddleEast","intro4","percentMA","percent_il","face_intro","face8","face8_age","face8_race_1","face8_race_2","face8_race_3","face8_race_4","face8clas","face8_his","face8.1","face8_des","face8_ori","face8.2","face8_loc","face8_job","intro","face9","face9_age","face9_race_1","face9_race_2","face9_race_3","face9_race_4","face9_clas","face9_hisp","face9.1","face9_desc","face9_orig","face9.2","face9_loc","face9_job","face9.3","face10","face10_age","face10race_1","face10race_2","face10race_3","face10race_4","face10clas","face10_hispanc","face10.1","face10desc","face10orig","face10.2","face10loca","face10job","face10inst","face11","face11_age","face11race_1","face11race_2","face11race_3","face11race_4","face11clas","face11_hispanc","face11.1","face11desc","face11orig","face11.2","face11loc","face11job","face11inst","face12","face12_age","face12race_1","face12race_2","face12race_3","face12race_4","fac12class","face12_hispanc","face12.1","face12desc","face12orig","face12.2","face12loc","face12loc.1","face12.3","face13","face13_age","face13race_1","face13race_2","face13race_3","face13race_4","face13clas","face13_hispanc","face13.1","face13desc","face13orig","face13.2","face13loc","face13job","face13inst","face14","face14_age","face14race_1","face14race_2","face14race_3","face14race_4","face14clas","face14_hispanc","face14.1","face14desc","face14orig","face14.2","face14oc","face14job","face14inst","face8.3","face8stud","face8.4","face8_for","face8.5","face8_com","face18_pic","face8_pro","face8.6","face8_ind","face8.7","face8_UE","face8.8","face8_capa","face8.9","face8_imm","face8.10","face8_inti","face8.11","face8_frie","face8.12","face8_app","face8_pic","face8_IQ","face8.13","face8_unus","face8.14","face8_norm","face8.15","face8_suc","face8.16","face8_weal","face8.17","face8_youn","comments","face9.4","face9_stud","face9.5","face9_fore","face9.6","face9_comm","face9.7","face9_prof","face9.8","face9_indu","face9.9","face9_UE","face9.10","face9_cap","face9.11","face9_imm","face9.12","face0intim","face9.13","face9_frie","face9_pic","face9_appr","face9.14","face9_IQ","face9.15","face9_unus","face9.16","face9_norm","face9.17","face9_succ","face9.18","face9_youn","face9.19","face9_weal","face10.3","face10stud","face10.4","face10_for","face10.5","face10_com","face10pic","face10_prof","face10.6","face10_ind","face10.7","face10_UE","face10.8","face10_cap","face10.9","face10_imm","face10.10","face10inti","face10.11","face10appr","face10.12","face10_IQ","face10.13","face10unus","face10.14","face10_norm","face10.15","face10succ","face10.16","face10weal","face10.17","face10youn","face10.18","face10_frie","face11.3","face11stud","face11.4","face11_for","face11.6","face11_com","face11.7","face11_prof","face11.8","face11_UE","face11.9","face11indu","face11.10","face11capa","face11.11","face11_imm","face11.12","face11inti","face11.13","face11_frie","face11.14","face11appr","face11pic","face11IQ","face11.15","face11unus","face11.16","face11_norm","face11.17","face11succ","face11.18","face11weal","face11.19","face11youn","face12.4","face12_stu","face12.5","face12_for","face12.6","face12_com","face12.7","face12_prof","face12.8","face12indu","face12.9","face12_UE","face12.10","face12_cap","face12.11","face12_imm","face12.12","face12inti","face12.13","face12appr","face12.14","face12_frie","face12.15","face12_norm","face12.16","face12succ","face12.17","face12weal","face12nus","face12unus","face12.18","fac12young","face12.19","face12IQ","face13.3","face13_com","face13.4","face13_student","face13.6","face13_for","face13.7","face13_prof","face13.8","face13indu","face13.9","face13UE","face13.10","face13cap","face13.11","face13_imm","face13.12","face13inti","face13.13","face13_frie","face13.14","face13appr","face13.15","face13IQ","face13.16","face13unus","face13.17","face13_norm","face13.18","face13succ","face13.19","face13weal","face13.20","face13youn","face14.3","face14stud","face14.4","face14_for","face14.6","face14_com","face14.7","face14_prof","face14.8","face14indu","face14.9","face14_UE","face14.10","face14capa","face14.11","face14_imm","face14.12","face14inti","face14.13","face14_frie","face14.14","face14appr","face14.15","face14IQ","face14.16","face14unus","face14.17","face14_norm","face14.18","face14succ","face14.19","face14weal","face14.20","face14youn"
"1","Default Response Set","Anonymous",NA,"66.194.51.226",0,"2012-09-27 07:18:06","2012-09-27 07:22:08",1,9788539,1,NA,23,3,0,1,NA,NA,1,NA,NA,2,3,1,1,4,3,2,2,5,4,1,2,2,1,1,1,1,1,1,1,5,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,1,8,1,NA,NA,NA,4,0,1,"She's a 24-year old graduate student. ","Florida",1,"In a library, studying.","A lab technician",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,1,1,1,2,1,2,1,1,1,3,1,4,1,1,1,2,1,4,1,4,1,5,1,2,1,3,1,3,1,2,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Default Response Set","Anonymous",NA,"99.109.96.242",0,"2012-09-27 07:19:30","2012-09-27 07:24:43",1,188864,1,NA,34,3,5,1,NA,NA,NA,1,NA,2,6,1,1,6,3,1,3,5,6,1,3,5,1,1,2,3,3,10,1,7,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,1,6,1,NA,NA,NA,3,0,1,"a young white man, probably around 22 years old. cute, looks like he likes to have fun and party. not the sharpest of dressers, very casual ","USA, somewhere in the Northeast",1,"I would expect him to be in college taking classes. After classes, he would probably be at the bar with his friends","parking cars or a cashier",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,1,1,1,2,1,1,1,2,1,3,1,2,1,1,1,3,1,4,1,5,1,2,1,2,1,3,1,2,1,1,1,4
"3","Default Response Set","Anonymous",NA,"68.186.161.159",0,"2012-09-27 07:17:49","2012-09-27 07:24:55",1,6591008,1,NA,30,5,0,2,NA,NA,NA,1,NA,2,4,1,4,3,2,1,1,3,7,1,2,2,2,1,1,1,1,1,1,2,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,1,6,1,NA,NA,NA,4,0,1,"This person is a student who is very good at her studies and she likes to help others. She works part time in a restaurant to earn extra money. ","ohio",1,"At a school campus, or in the evening at a sit down restaurant","restaurant (unitl graduation!)",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hard to say what a person is like just from a small photo. I don't think people could tell things about me from my face?",1,5,1,1,1,2,1,3,1,3,1,1,1,4,1,2,1,1,1,4,1,4,1,4,1,2,1,4,1,3,1,5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Default Response Set","Anonymous",NA,"76.93.33.242",0,"2012-09-27 07:17:20","2012-09-27 07:24:31",1,7704394,1,NA,9,5,3,2,NA,NA,NA,1,NA,2,3,2,6,6,1,1,4,5,7,1,5,1,2,1,1,1,1,1,1,5,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,1,5,1,NA,NA,NA,3,0,1,"Early 20s white guy with dark blonde hair and blue eyes. Dressed in a black hoodie.","California",1,"At a college campus.","student",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,1,1,1,3,1,1,1,3,1,3,1,3,1,1,1,2,1,3,1,3,1,3,1,2,1,2,1,1,1,5,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Default Response Set","Anonymous",NA,"98.228.243.234",0,"2012-09-27 07:18:21","2012-09-27 07:24:38",1,7768098,1,NA,4,6,5,1,NA,NA,NA,1,NA,2,2,1,3,3,3,3,4,5,5,1,2,3,5,1,1,1,1,1,1,3,11,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,1,4,1,NA,NA,NA,4,0,1,"He is a white, middle-aged man with brown curly hair. He has stubble on his face.","West coast USA",1,"School","Programmer",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,1,1,1,4,1,2,1,3,1,2,1,4,1,1,1,2,1,5,1,4,1,2,1,5,1,3,1,2,1,3,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Default Response Set","Anonymous",NA,"24.1.177.77",0,"2012-09-27 07:18:51","2012-09-27 07:26:31",1,2024872,1,NA,15,2,0,1,NA,NA,NA,1,NA,2,3,1,3,2,1,1,2,5,7,1,2,2,4,1,1,3,2,1,1,1,1,1,1,5,1,NA,NA,NA,3,0,1,"This person is a white male, blonde with an oval face and short hair.  He seems friendly.","UK",1,"I would expect to find him at record stores or bookstores.","Waiter",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,1,4,1,1,1,2,1,2,1,3,1,2,1,4,1,2,1,1,1,4,1,4,1,3,1,2,1,5,1,3,1,3,1,5,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Default Response Set","Anonymous",NA,"198.185.18.72",0,"2012-09-27 07:21:47","2012-09-27 07:27:08",1,6181380,1,NA,20,1,2,2,NA,NA,NA,1,NA,2,6,1,1,6,1,1,2,5,7,1,5,2,2,1,1,1,1,1,1,5,12,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,1,4,1,NA,NA,NA,4,0,1,"He's a young white kid wearing a hoodie. He looks college age, but he might be younger. He has sandy hair and bluish eyes.","US",1,"College","Student. AFter that business related.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"none thanks",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,1,2,1,4,1,2,1,3,1,3,1,3,1,2,1,2,1,3,1,3,1,5,1,3,1,3,1,2,1,5,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Default Response Set","Anonymous",NA,"180.180.52.83",0,"2012-09-27 07:19:02","2012-09-27 07:30:37",1,7105584,1,NA,11,6,1,1,NA,NA,NA,1,NA,2,6,1,1,2,1,3,4,5,2,1,5,1,2,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,1,3,1,NA,NA,NA,2,0,1,"He looks aloof, has curly hair, blue eyes, and is young.","England",1,"On a collage campus.","Working at a pizza place",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,1,5,1,4,1,1,1,2,1,3,1,3,1,3,1,2,1,3,1,3,1,3,1,1,1,4,1,3,1,3,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Default Response Set","Anonymous",NA,"98.166.181.76",0,"2012-09-27 07:26:23","2012-09-27 07:33:24",1,8381715,1,NA,21,5,25,2,NA,NA,NA,1,NA,2,2,1,4,2,3,3,4,1,6,1,1,1,5,1,1,2,1,1,1,1,10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,1,8,1,NA,NA,NA,4,0,1,"White guy, curly brown hair, mid 20's, blue eyes, slender build, slight mustache","USA",1,"at work","computer work",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,1,3,1,2,1,2,1,2,1,2,1,4,1,2,1,1,1,4,1,5,1,4,1,1,1,5,1,3,1,2,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Default Response Set","Anonymous",NA,"70.60.117.61",0,"2012-09-27 07:36:52","2012-09-27 07:44:10",1,6622045,NA,NA,17,5,1,1,NA,NA,NA,1,NA,2,6,1,1,6,2,1,1,5,7,1,5,1,2,1,1,1,1,1,1,2,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,1,10,1,NA,NA,NA,2,1,1,"White with black haird.  Faint goatee with brown eyse. ","USA",1,"most of the places I see and intereact. ","Construction worker ",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,1,1,1,2,1,3,1,NA,1,3,1,4,1,1,1,2,1,4,1,4,1,3,1,1,1,4,1,3,1,3,1,4
